plot_id,a_hhid,resp_id,longitude,latitude
p1_1,10010013,100100131,74.7464003786444,30.3053862400232
p1_2,10010013,100100131,74.7460275515913,30.3055732310132
p1_3,10010013,100100131,74.7460651025176,30.3059721053386
p1_4,10010013,100100131,74.7464265301823,30.3059703685889
p1_5,10010013,100100131,74.7464275360107,30.3065194694235
p1_6,10010013,100100131,74.7471285983920,30.3065055755025
p1_7,10010013,100100131,74.7471108287572,30.3057723789199
p1_8,10010013,100100131,74.7464084252715,30.3057628267766
p1_9,10010013,100100131,74.7464003786444,30.3053862400232
p1_1,10010033,100100331,74.7380613908171,30.3091977753689
p1_2,10010033,100100331,74.7380499914288,30.3095320881137
p1_3,10010033,100100331,74.7377093508839,30.3097303596358
p1_4,10010033,100100331,74.7372915968298,30.3097294912942
p1_5,10010033,100100331,74.7372976318001,30.3091861974179
p1_6,10010033,100100331,74.7380613908171,30.3091977753689
p1_1,10010034,100100341,74.7706606239080,30.3357149291447
p1_2,10010034,100100341,74.7706723585724,30.3364794428033
p1_3,10010034,100100341,74.7679207473993,30.3364985410999
p1_4,10010034,100100341,74.7679428756237,30.3354712789499
p1_5,10010034,100100341,74.7683472186326,30.3355314681280
p1_6,10010034,100100341,74.7693101316690,30.3356032320998
p1_7,10010034,100100341,74.7706606239080,30.3357149291447
p1_1,10010039,100100391,74.7812804952263,30.3126499699010
p1_2,10010039,100100391,74.7801948711276,30.3126687834057
p1_3,10010039,100100391,74.7801828011870,30.3121778944691
p1_4,10010039,100100391,74.7806997969746,30.3121938136653
p1_5,10010039,100100391,74.7812804952263,30.3126499699010
p1_1,10010068,100100681,74.7439337521791,30.3012523744224
p1_2,10010068,100100681,74.7437181696295,30.3038005652481
p1_3,10010068,100100681,74.7452218830585,30.3037473037298
p1_4,10010068,100100681,74.7452688217163,30.3010867961735
p1_5,10010068,100100681,74.7439612448215,30.3010184805907
p1_6,10010068,100100681,74.7439337521791,30.3012523744224
p1_1,10010075,100100751,74.8050358146429,30.3026725148418
p1_2,10010075,100100751,74.8064865544438,30.3026565940991
p1_3,10010075,100100751,74.8062019050121,30.3032277129430
p1_4,10010075,100100751,74.8050562664866,30.3032323444051
p1_5,10010075,100100751,74.8050358146429,30.3026725148418
p1_1,10010116,100101161,74.7469643130898,30.3472722801153
p1_2,10010116,100101161,74.7469401732087,30.3471956059779
p1_3,10010116,100101161,74.7462780028581,30.3473900398999
p1_4,10010116,100101161,74.7462689504027,30.3484108116530
p1_5,10010116,100101161,74.7496669739484,30.3484093649886
p1_6,10010116,100101161,74.7497367113828,30.3472853002459
p1_7,10010116,100101161,74.7469643130898,30.3472722801153
p1_1,10010122,100101221,74.7775673121213,30.3066476986429
p1_2,10010122,100101221,74.7764786705374,30.3066618820000
p1_3,10010122,100101221,74.7764756530523,30.3056004401987
p1_4,10010122,100101221,74.7775542363524,30.3056172288413
p1_5,10010122,100101221,74.7775673121213,30.3066476986429
p1_1,10010127,100101271,74.7847697138786,30.3154279618458
p1_2,10010127,100101271,74.7861000895500,30.3164629593371
p1_3,10010127,100101271,74.7847355157136,30.3164748258557
p1_4,10010127,100101271,74.7847318276762,30.3158814981659
p1_5,10010127,100101271,74.7847438976168,30.3156059613538
p1_6,10010127,100101271,74.7847697138786,30.3154279618458
p1_1,10010145,100101451,74.7652586549520,30.3053989762629
p1_2,10010145,100101451,74.7659248486161,30.3053972395030
p1_3,10010145,100101451,74.7659251838922,30.3042877331193
p1_4,10010145,100101451,74.7652677074074,30.3043149426617
p1_5,10010145,100101451,74.7652586549520,30.3053989762629
p1_1,10010164,100101641,74.8083885759115,30.3246985564433
p1_2,10010164,100101641,74.8077699914574,30.3246629598714
p1_3,10010164,100101641,74.8077153414487,30.3246748253968
p1_4,10010164,100101641,74.8077052831649,30.3230535761442
p1_5,10010164,100101641,74.8083996400237,30.3230370798964
p1_6,10010164,100101641,74.8083885759115,30.3246985564433
p1_1,10010171,100101711,74.7492140159010,30.3065353895388
p1_2,10010171,100101711,74.7492203861474,30.3063958713489
p1_3,10010171,100101711,74.7497286647558,30.3064062918015
p1_4,10010171,100101711,74.7497051954269,30.3070856450283
p1_5,10010171,100101711,74.7492301091551,30.3070700144574
p1_6,10010171,100101711,74.7491972520947,30.3076138989704
p1_7,10010171,100101711,74.7485169768333,30.3076086888084
p1_8,10010171,100101711,74.7485270351171,30.3065388630182
p1_9,10010171,100101711,74.7492140159010,30.3065353895388
p1_1,10010214,100102141,74.7481770068407,30.3102939116843
p1_2,10010214,100102141,74.7477220371365,30.3102918855657
p1_3,10010214,100102141,74.7477622702717,30.3093517619869
p1_4,10010214,100102141,74.7481505200266,30.3093488675039
p1_5,10010214,100102141,74.7481770068407,30.3102939116843
p1_1,10020001,100200011,75.2514341846108,30.5065319042055
p1_2,10020001,100200011,75.2523642405867,30.5065651235927
p1_3,10020001,100200011,75.2524349838495,30.5054818768554
p1_4,10020001,100200011,75.2515260502696,30.5054278586356
p1_5,10020001,100200011,75.2514884993433,30.5054579008578
p1_6,10020001,100200011,75.2514341846108,30.5065319042055
p1_1,10020002,100200021,75.2549780532717,30.5070533028446
p1_2,10020002,100200021,75.2549579367041,30.5075640108235
p1_3,10020002,100200021,75.2555084601044,30.5075888528853
p1_4,10020002,100200021,75.2554987370967,30.5080622951521
p1_5,10020002,100200021,75.2561200037598,30.5080903145429
p1_6,10020002,100200021,75.2561320737004,30.5071078978867
p1_7,10020002,100200021,75.2549780532717,30.5070533028446
p1_1,10020022,100200221,75.2546645700931,30.5043356442354
p1_2,10020022,100200221,75.2546058967709,30.5053781734016
p1_3,10020022,100200221,75.2550618723034,30.5054012828159
p1_4,10020022,100200221,75.2551104873418,30.5049445819969
p1_5,10020022,100200221,75.2555366232991,30.5049330272362
p1_6,10020022,100200221,75.2555735036730,30.5042674707003
p1_7,10020022,100200221,75.2553066238760,30.5042723815074
p1_8,10020022,100200221,75.2546645700931,30.5043356442354
p1_1,10020039,100200391,75.2742047980427,30.5017372165858
p1_2,10020039,100200391,75.2742004394531,30.5027078435970
p1_3,10020039,100200391,75.2736033126711,30.5026925331866
p1_4,10020039,100200391,75.2736076712608,30.5017143951794
p1_5,10020039,100200391,75.2742047980427,30.5017372165858
p1_1,10020046,100200461,75.2548006922006,30.5043916851564
p1_2,10020046,100200461,75.2548697590827,30.5054131263886
p1_3,10020046,100200461,75.2555781975388,30.5054339248543
p1_4,10020046,100200461,75.2563027292490,30.5053992607423
p1_5,10020046,100200461,75.2562950178980,30.5048307675437
p1_6,10020046,100200461,75.2560801059007,30.5047989919112
p1_7,10020046,100200461,75.2561689540743,30.5042486940826
p1_8,10020046,100200461,75.2548006922006,30.5043916851564
p1_1,10020054,100200541,75.2582238614559,30.5164668837440
p1_2,10020054,100200541,75.2575995773077,30.5164437769597
p1_3,10020054,100200541,75.2575838193297,30.5168186838572
p1_4,10020054,100200541,75.2582201734185,30.5168513220626
p1_5,10020054,100200541,75.2582238614559,30.5164668837440
p1_1,10020062,100200621,75.2675314620137,30.5156179946484
p1_2,10020062,100200621,75.2674975991249,30.5169515472798
p1_3,10020062,100200621,75.2670600637793,30.5167669826068
p1_4,10020062,100200621,75.2665796130895,30.5165749078880
p1_5,10020062,100200621,75.2664843946695,30.5165295608689
p1_6,10020062,100200621,75.2665118873119,30.5155720695081
p1_7,10020062,100200621,75.2668401226401,30.5155790016061
p1_8,10020062,100200621,75.2671234309673,30.5155743802075
p1_9,10020062,100200621,75.2673899754881,30.5155859337037
p1_10,10020062,100200621,75.2674620598554,30.5156127955770
p1_11,10020062,100200621,75.2675314620137,30.5156179946484
p1_1,10020070,100200701,75.2525778114795,30.5151451668509
p1_2,10020070,100200701,75.2531192824244,30.5151431449800
p1_3,10020070,100200701,75.2530904486775,30.5156731625556
p1_4,10020070,100200701,75.2525979280472,30.5156179946484
p1_5,10020070,100200701,75.2527655661106,30.5140293765600
p1_6,10020070,100200701,75.2531273290514,30.5140311096120
p1_7,10020070,100200701,75.2531548216938,30.5151183048484
p1_8,10020070,100200701,75.2525778114795,30.5151451668509
p1_1,10020077,100200771,75.2714189887046,30.5079279752802
p1_2,10020077,100200771,75.2711718901991,30.5079271086997
p1_3,10020077,100200771,75.2709948644042,30.5079097770897
p1_4,10020077,100200771,75.2710666134953,30.5062519943091
p1_5,10020077,100200771,75.2714944258332,30.5062782810313
p1_6,10020077,100200771,75.2714189887046,30.5079279752802
p1_1,10020134,100201341,75.2565025538206,30.5081671511813
p1_2,10020134,100201341,75.2565588802099,30.5076512468730
p1_3,10020134,100201341,75.2574604377150,30.5076633790326
p1_4,10020134,100201341,75.2575968950986,30.5076350706578
p1_5,10020134,100201341,75.2575653791427,30.5079109325304
p1_6,10020134,100201341,75.2574761956930,30.5079785257914
p1_7,10020134,100201341,75.2575600147247,30.5080510296216
p1_8,10020134,100201341,75.2575442567467,30.5081729283697
p1_9,10020134,100201341,75.2565025538206,30.5081671511813
p1_1,10020140,100201401,75.2791005000472,30.5030388945230
p1_2,10020140,100201401,75.2794468402862,30.5030464052640
p1_3,10020140,100201401,75.2794840559363,30.5029944078149
p1_4,10020140,100201401,75.2794988080859,30.5029536764604
p1_5,10020140,100201401,75.2796999737620,30.5029851638211
p1_6,10020140,100201401,75.2796781808137,30.5032503505457
p1_7,10020140,100201401,75.2796600759029,30.5032723049698
p1_8,10020140,100201401,75.2796221897006,30.5032890596585
p1_9,10020140,100201401,75.2795786038041,30.5033205469106
p1_10,10020140,100201401,75.2790817245841,30.5033300797464
p1_11,10020140,100201401,75.2791005000472,30.5030388945230
p1_1,10100009,101000091,74.8953012004494,30.3637653711254
p1_2,10100009,101000091,74.8951191455125,30.3617793924083
p1_3,10100009,101000091,74.8957826569676,30.3617524881227
p1_4,10100009,101000091,74.8959194496273,30.3636563096844
p1_5,10100009,101000091,74.8953012004494,30.3637653711254
p1_1,10100011,101000111,74.8768432438373,30.3707615385745
p1_2,10100011,101000111,74.8774698749184,30.3706999247301
p1_3,10100011,101000111,74.8775486648082,30.3717751241318
p1_4,10100011,101000111,74.8768958821892,30.3718138854713
p1_5,10100011,101000111,74.8768432438373,30.3707615385745
p1_1,10100035,101000351,74.8910763859748,30.3639681614390
p1_2,10100035,101000351,74.8909369111061,30.3626747512430
p1_3,10100035,101000351,74.8916560783982,30.3626041642852
p1_4,10100035,101000351,74.8917580023407,30.3639134862032
p1_5,10100035,101000351,74.8910763859748,30.3639681614390
p1_1,10100078,101000781,74.8905362561345,30.3685489119083
p1_2,10100078,101000781,74.8911558464169,30.3685659790333
p1_3,10100078,101000781,74.8911283537745,30.3677455965712
p1_4,10100078,101000781,74.8909566923975,30.3677285293030
p1_5,10100078,101000781,74.8910116776823,30.3680461535683
p1_6,10100078,101000781,74.8904443904757,30.3680377645982
p1_7,10100078,101000781,74.8905362561345,30.3685489119083
p1_1,10100125,101001251,74.8841029778122,30.3651880766061
p1_2,10100125,101001251,74.8840325698256,30.3641952513766
p1_3,10100125,101001251,74.8825959116220,30.3642791443412
p1_4,10100125,101001251,74.8827437683939,30.3657281669837
p1_5,10100125,101001251,74.8834703117609,30.3656847747229
p1_6,10100125,101001251,74.8834216967225,30.3652369654668
p1_7,10100125,101001251,74.8841029778122,30.3651880766061
p1_1,10100189,101001891,74.8872720077633,30.3510130370491
p1_2,10100189,101001891,74.8887465521693,30.3509337619139
p1_3,10100189,101001891,74.8887562751770,30.3504274411040
p1_4,10100189,101001891,74.8891539126634,30.3503539520373
p1_5,10100189,101001891,74.8891247436404,30.3498239032760
p1_6,10100189,101001891,74.8872042819857,30.3499367414079
p1_7,10100189,101001891,74.8872720077633,30.3510130370491
p1_1,10100229,101002291,74.8885410279035,30.3493172873932
p1_2,10100229,101002291,74.8878684639930,30.3493812293482
p1_3,10100229,101002291,74.8876827210187,30.3471655149793
p1_4,10100229,101002291,74.8882929235697,30.3465587743114
p1_5,10100229,101002291,74.8884779959917,30.3485664726230
p1_6,10100229,101002291,74.8881470784544,30.3485823859053
p1_7,10100229,101002291,74.8881205916404,30.3487698731085
p1_8,10100229,101002291,74.8884726315736,30.3487791317265
p1_9,10100229,101002291,74.8885410279035,30.3493172873932
p1_1,10100240,101002401,74.9035137891769,30.3729576273344
p1_2,10100240,101002401,74.9042939767241,30.3729101886359
p1_3,10100240,101002401,74.9041756242513,30.3719576494099
p1_4,10100240,101002401,74.9034832790493,30.3719912039405
p1_5,10100240,101002401,74.9035137891769,30.3729576273344
p1_1,10120014,101200141,75.1712575927376,30.5121102912873
