resp_id,a_hhid,plot,plot_id,crop_burned_plotlevel,land_plot_burn_perc,crop_burning,land_plot_name,land_plot_area,land_plot_unit,land_plot_unit_other,land_plot_tenure,land_plot_dist,land_plot_dist_unit,land_plot_soil,land_plot_irri,land_plot_seccrop,land_plot_paddy,land_plot_cult18,land_plot_paddy18,land_plot_paddy18_area,land_plot_burn,land_plot_crm,land_crm_labor,land_crm_equip,land_crm_oth,field_points,field_name
100100131,10010013,1,p1,2,,0,Road wala khet,2,1,,1,1,1,2,2,1,2,1,1,2,0,1,4000,4000,4000,30.305386240023203 74.74640037864447;30.305573231013202 74.7460275515914;30.305972105338647 74.7460651025176;30.305970368588927 74.74642653018235;30.306519469423513 74.74642753601074;30.30650557550251 74.74712859839201;30.305772378919933 74.74711082875729;30.305762826776675 74.74640842527151;30.305386240023203 74.74640037864447,Road wala khet
100100331,10010033,1,p1,1,,1,Utla Maria wala,1,1,,1,1.5,1,4,1,1,1,1,1,1,1,0,3000,300,650,30.30919777536893 74.73806139081717;30.309532088113762 74.73804999142887;30.309730359635854 74.73770935088396;30.309729491294295 74.73729159682988;30.309186197417954 74.73729763180017;30.30919777536893 74.73806139081717,Utla Maria wala
100100331,10010033,2,p2,1,,1,Utla Maira wala,2,1,,1,1.5,1,4,2,1,2,1,1,2,1,0,6000,600,1200,30.307913482817682 74.73617278039457;30.307936928471445 74.73732981830835;30.308560696583108 74.73733149468899;30.30852596250029 74.73616875708103;30.307913482817682 74.73617278039457,Utla Maira wala
100100331,10010033,3,p3,1,,1,Lahi wala,9,1,,1,1.5,1,1,9,1,9,1,1,9,1,0,27000,2700,5400,30.309339894605866 74.74837314337492;30.308200329875177 74.74840298295021;30.308170516345253 74.7454260662198;30.30934047350254 74.74543746560812;30.309339894605866 74.74837314337492,Lahi wala
100100341,10010034,1,p1,1,,1,Bhalaiana wala khet 1,7,1,,1,2,1,5,7,1,7,1,1,7,1,0,0,3500,0,30.335714929144746 74.77066062390804;30.33647944280338 74.77067235857248;30.336498541099946 74.76792074739933;30.335471278949914 74.7679428756237;30.33553146812809 74.7683472186327;30.33560323209982 74.76931013166904;30.335714929144746 74.77066062390804,Bhalaiana wala khet 1
100100341,10010034,2,p2,1,,1,Bhalaiana wala khet 2,4,1,,1,2,1,5,4,1,4,1,1,4,1,0,0,2000,0,30.33651214139977 74.77310243993998;30.3358630866865 74.7731151804328;30.33583386031417 74.77210063487291;30.336490149424634 74.77197758853436;30.33651214139977 74.77310243993998,Bhalaiana wala khet 2
100100391,10010039,1,p1,2,,0,Tahli wala,4.5,1,,1,1,1,5,4.5,1,4.5,1,1,4.5,0,1,5000,4000,-97,30.312649969901052 74.78128049522638;30.312668783405798 74.7801948711276;30.312177894469105 74.78018280118704;30.31219381366539 74.78069979697466;30.312649969901052 74.78128049522638,Tahli wala
100100681,10010068,1,p1,3,8,2,Home 1,8,1,,1,1,1,6,8,1,8,1,1,8,1,1,3000,-97,1000,30.301252374422415 74.74393375217915;30.303800565248164 74.74371816962957;30.30374730372982 74.74522188305853;30.30108679617351 74.74526882171631;30.301018480590745 74.74396124482155;30.301252374422415 74.74393375217915,Home 1
100100681,10010068,2,p2,1,,2,Jhanda wala  khet,2,1,,1,5,1,3,2,1,2,1,1,2,1,0,1000,-97,1500,30.31966223648066 74.76944021880627;30.320716869448542 74.76948045194149;30.31967468144741 74.77015905082226;30.320750730966587 74.77012887597084;30.31966223648066 74.76944021880627,Jhanda wala  khet
100100751,10010075,1,p1,3,2,2,Vahil wala khet,2,1,,1,2,1,3,2,1,2,1,1,2,1,1,0,0,2000,30.302672514841884 74.8050358146429;30.302656594099183 74.80648655444384;30.303227712943098 74.80620190501213;30.30323234440517 74.80505626648664;30.302672514841884 74.8050358146429,Vahil wala khet
100100751,10010075,2,p2,2,,2,Burja wala khet,2,1,,1,3,1,3,2,2,2,1,1,2,0,1,2000,2000,2000,30.30394240284612 74.79655735194683;30.30392821909555 74.79632265865803;30.304479647070615 74.79632399976254;30.304478199757174 74.79655031114817;30.30394240284612 74.79655735194683,Burja wala khet
100100751,10010075,3,p3,2,,2,Burja wala rasta,3,1,,1,3,1,3,3,1,3,1,1,3,0,1,2000,2000,2000,30.31048291942698 74.79979880154133;30.310484656096733 74.79863170534372;30.311334462806638 74.79861326515675;30.31135298712153 74.80004154145718;30.31105717654977 74.80010591447355;30.31102649555872 74.79976292699575;30.31048291942698 74.79979880154133,Burja wala rasta
100101161,10010116,1,p1,1,,1,Beri wala,4,1,,1,1.5,1,5,4,1,4,1,1,4,1,0,2000,1000,0,30.34727228011537 74.74696431308985;30.347195605977955 74.74694017320871;30.347390039899988 74.74627800285816;30.34841081165307 74.74626895040274;30.348409364988612 74.74966697394848;30.347285300245936 74.74973671138287;30.34727228011537 74.74696431308985,Beri wala
100101221,10010122,1,p1,1,,1,Kili wala rah,2,1,,1,1,1,1,2,1,2,1,1,2,1,0,0,600,0,30.306647698642955 74.77756731212139;30.30666188200005 74.77647867053747;30.305600440198745 74.77647565305233;30.305617228841363 74.77755423635244;30.306647698642955 74.77756731212139,Kili wala rah
100101221,10010122,2,p2,1,,1,Ablu wala rah,11,1,,3,2,1,1,11,1,11,1,1,11,1,0,0,4400,0,30.31614921964151 74.77775573730469;30.316706946247358 74.77778322994709;30.31676020072349 74.7791025415063;30.317561619208906 74.7791712731123;30.317561619208906 74.77763202041388;30.317496788199154 74.77559085935354;30.316968298100026 74.77559756487608;30.31698016455741 74.77611992508173;30.315929253942233 74.7761269658804;30.315911888208124 74.77702718228102;30.316101753400837 74.77705467492342;30.31614921964151 74.77775573730469,Ablu wala rah
