resp_id,a_hhid,treatment,plot,plot_id,village,district,plot_count,burnt,manage_stubble,manage_stubble_oth,harvested,harvest_plan,sowed_first,monitoring_date,land_plot_burn,land_plot_area,baling_picking,bale_manage,bale_payer,bale_use,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,plot_belong,plot_leased,basmati_plot,cotton_plot,gps1latitude,gps1longitude,gps1altitude,gps1accuracy,gps1_bglatitude,gps1_bglongitude,gps1_bgaltitude,gps1_bgaccuracy,gps2latitude,gps2longitude,gps2altitude,gps2accuracy,gps2_bglatitude,gps2_bglongitude,gps2_bgaltitude,gps2_bgaccuracy,burnt_lastyear
100100131,10010013,PES 1600 /acres,1,p1,Ablu,Bathinda,1,No,,,Yes,"Fourth week of October (Katta, 2nd week)",No,11/13/2019,No,2,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.30549431,74.7464447,186.3999939,4.900000095,"Yes, belongs to/ rented for farming by the farmer being monitored",No,No,No,30.30544472,74.7463913,188.8999939,4,30.30543327,74.74647522,189,4.599999905,30.30581474,74.7463913,189.1999969,4.400000095,30.30580139,74.74638367,189,4.199999809,Did not burn
100100331,10010033,PES 1600 /acres,1,p1,Ablu,Bathinda,3,No,,,Yes,"Fourth week of October (Katta, 2nd week)",,11/14/2019,Yes,1,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.30918884,74.73760223,186.1999969,4.800000191,,,,,30.30923462,74.73742676,188.8000031,4,30.30922508,74.73744202,189.3000031,4.800000191,30.3093586,74.73749542,189.1999969,4,30.30932617,74.73750305,188.8999939,4.400000095,"Yes, burnt completely"
100100331,10010033,PES 1600 /acres,2,p2,Ablu,Bathinda,3,No,,,Yes,"Fourth week of October (Katta, 2nd week)",,11/14/2019,Yes,2,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.30851746,74.73735046,189,4.800000191,,,,,30.30847359,74.73733521,188.8000031,4.199999809,30.30847549,74.73732758,188.8000031,4.400000095,30.30842781,74.73713684,191.3000031,4,30.30841255,74.73719788,190.6000061,4.800000191,"Yes, burnt completely"
100100331,10010033,PES 1600 /acres,3,p3,Ablu,Bathinda,3,No,,,Yes,"Fourth week of October (Katta, 2nd week)",,11/14/2019,Yes,9,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.30818367,74.74573517,180.5,4.800000191,,,,,30.30815887,74.74571991,181.6999969,4.5,30.30814362,74.74572754,181.8000031,4,30.30826759,74.74577332,182.3000031,4,30.30824661,74.74575043,182.6000061,4.900000095,"Yes, burnt completely"
100101161,10010116,PES 1600 /acres,1,p1,Ablu,Bathinda,1,No,Incorporate into the soil,,Yes,"First week of November (Katta, 3rd week)",No,11/29/2019,Yes,4,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.34759712,74.7492981,189.8999939,4.300000191,"Yes, belongs to/ rented for farming by the farmer being monitored",Yes,No,No,30.34762192,74.74929047,189.1999969,4.699999809,30.35282898,74.73300171,195.1000061,4.800000191,30.34762192,74.74927521,189.1000061,4,30.35282898,74.73300171,195.1000061,4.800000191,"Yes, burnt completely"
100101641,10010164,PES 1600 /acres,1,p1,Ablu,Bathinda,2,No,,,,"Fourth week of October (Katta, 2nd week)",,11/12/2019,No,3,"Yes, baling",Collected by farmer whose baler rented for sale to factory,Farmer,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, burnt partially"
100101641,10010164,PES 1600 /acres,2,p2,Ablu,Bathinda,2,No,,,,"Fourth week of October (Katta, 2nd week)",,11/12/2019,Yes,2,"Yes, baling",Collected by farmer whose baler rented for sale to factory,Farmer,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, burnt partially"
100201341,10020134,PES + 50% UCT 800/acres,1,p1,Adampura,Bathinda,3,No,Sell/give away the stubble,,Yes,"Fourth week of October (Katta, 2nd week)",Yes,11/14/2019,Yes,0.5,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.50881577,75.24308014,208,4.099999905,"Yes, belongs to/ rented for farming by the farmer being monitored",No,No,No,30.50863838,75.24310303,206.3000031,4.699999809,30.22145462,74.94248962,211.3000031,3.900000095,30.50857162,75.24290466,207,4.199999809,30.22145462,74.94248962,211.3000031,3.900000095,"Yes, burnt partially"
100201341,10020134,PES + 50% UCT 800/acres,2,p2,Adampura,Bathinda,3,No,Sell/give away the stubble,,Yes,"Fourth week of October (Katta, 2nd week)",,11/14/2019,No,1.5,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.51316071,75.27031708,208.8000031,4.300000191,,,,,30.5132122,75.27031708,204,4.300000191,30.2181015,74.94213104,206.1000061,14.30000019,30.51324463,75.2702179,205.1000061,4.800000191,30.2181015,74.94213104,206.1000061,14.30000019,"Yes, burnt partially"
100201341,10020134,PES + 50% UCT 800/acres,3,p3,Adampura,Bathinda,3,No,Sell/give away the stubble,,Yes,"Fourth week of October (Katta, 2nd week)",,11/14/2019,No,1.5,"Yes, baling",Collected by factory/ industry/ brick kiln,Farmer,Don't know,30.508955,75.24304199,205.3000031,3.900000095,,,,,30.5089283,75.24303436,205.3999939,3.900000095,30.22140503,74.94258118,217.3000031,4.699999809,,,,,,,,,"Yes, burnt partially"
